lat,lng,gid,entidad,objeto,fna,gna,nam,tap,jap,caa,fdc,sag,area
-53.5466549524999,-68.0412969038351,362,falso,Área protegida,Sitio RAMSAR y Reserva Hemisférica Costa Atlántica de Tierra del Fuego,Sitio RAMSAR y Reserva Hemisférica,Costa Atlántica de Tierra del Fuego,2,2,17,SIB/IGN/Ley Provincial Nº 415/1998,IGN,762166
-31.4044448149999,-64.3577088932776,157,falso,Área protegida,Reserva Natural de la Defensa La Calera,Reserva Natural de la Defensa,La Calera,2,2,17,SIB/IGN/Protocolo adicional Nº 05/2009,IGN,136225
-32.245004065,-60.7344229757555,169,falso,Área protegida,Sitio Ramsar Delta del Parana,Sitio Ramsar,Delta del Parana,2,2,17,,MAyDS,2430979
-26.0317796969999,-54.4187433829442,47,falso,Área protegida,Parque Natural Municipal Lote C Huerto Municipal,Parque Natural Municipal,Lote C Huerto Municipal,1,4,17,SIB/IGN/Disposición Nº 45/95,IGN,955
-26.4022577179999,-65.680992151561,206,falso,Área protegida,Parque Provincial Cumbres Calchaquíes,Parque Provincial,Cumbres Calchaquíes,1,3,17,,IGN,706222
-27.6308533119999,-67.2755972461429,213,falso,Área protegida,Area Natural Protegida Sierras de Belén,Area Natural Protegida,Sierras de Belén,2,3,17,,MAyDS,392087
-33.804530475,-59.2919539546585,99,falso,Área protegida,Reserva Natural Objetivo Definido Educativo Paraná Guazú,Reserva Natural Objetivo Definido Educativo,Paraná Guazú,2,4,17,,MAyDS,7541
-47.92545844,-72.3175139920585,223,falso,Área protegida,Parque Nacional Perito Moreno,Parque Nacional,Perito Moreno,1,2,17,SIB/IGN/Decreto Nacional Nº 105.433/1937,IGN,953034
-50.3372270369999,-69.0171115664486,230,falso,Área protegida,Parque Nacional Monte León,Parque Nacional,Monte León,1,2,17,SIB/IGN/Ley Nacional Nº 25.945/2004,IGN,562692
-27.474381564,-55.001868198299,65,falso,Área protegida,Reserva Privada Ingeniero Barney,Reserva Privada,Ingeniero Barney,2,5,3,SIB/IGN/Decreto Provincial Nº 07/2000,IGN,500
-39.0397331265,-61.3864939017643,1,falso,Área protegida,"Reserva Geológica, Paleontológica y Arqueológica Pehuen Có - Monte Hermoso","Reserva Geológica, Paleontológica y Arqueológic",Pehuen Có - Monte Hermoso,2,3,17,SIB/IGN/Ley Provincial Nº 13.394,IGN,572244
-38.8107275375,-62.2700986682207,2,falso,Área protegida,Reserva Natural Integral Islote de la Gaviota Cangrejera,Reserva Natural Integral,Islote de la Gaviota Cangrejera,2,3,17,SIB/IGN/Decreto Provincial Nº 469,IGN,2925
-38.9320230825,-60.5846767372619,3,falso,Área protegida,Reserva Natural Provincial de Uso Múltiple Arroyo Los Gauchos,Reserva Natural Provincial de Uso Múltiple,Arroyo Los Gauchos,2,3,17,SIB/IGN/Decreto Provincial Nº 469/2011,IGN,7413
-26.8479787945,-59.6551680999174,155,falso,Área protegida,Parque Nacional Chaco,Parque Nacional,Chaco,1,2,17,SIB/IGN/Ley Nacional Nº 14.366/1954,IGN,149308
-33.714229557,-69.5966568864368,280,falso,Área protegida,Reserva Provincial de Uso Múltiple y Recreativa Natural Manzano - Portillo de Piuquenes,Reserva Provincial de Uso Múltiple y Recreativa,Manzano - Portillo de Piuquenes,2,3,17,SIAT Mendoza/IGN/Ley Provincial Nº 8.400,IGN,3152446
-23.771051921,-66.8354041539432,300,falso,Área protegida,Reserva Provincial de Fauna y Flora Olaroz - Cauchari,Reserva Provincial de Fauna y Flora,Olaroz - Cauchari,2,3,17,DIPEC/IGN04/SIB,IGN,2073205
-24.2325359149999,-67.0122627009672,301,falso,Área protegida,Reserva Provincial de Fauna Los Andes,Reserva Provincial de Fauna,Los Andes,2,3,17,SAyDS/IGN04/SIB,IGN,15248404
-25.8645128149999,-57.8684383454502,127,falso,Área protegida,Reserva de Pesca Puerto Dalmacia,Reserva de Pesca,Puerto Dalmacia,2,3,17,SIB/IGN/Ministerio de la Producción y Ambiente Pcial.,IGN,3072
-27.1564965609999,-54.229564150335,70,falso,Área protegida,Parque Provincial Guarambocá,Parque Provincial,Guarambocá,1,3,17,SIB/IGN/Ley Nº 4.258/2006,IGN,21695
-34.8395996099999,-58.1250122845887,82,falso,Área protegida,Parque Provincial Pereyra Iraola,Parque Provincial,Pereyra Iraola,1,3,17,SIB/IGN/Decreto Provincial Nº 1.465/1949,IGN,47122
-47.7058613835,-68.0578429749036,227,falso,Área protegida,Monumento Natural Bosques Petrificados de Jaramillo,Monumento Natural,Bosques Petrificados de Jaramillo,3,2,17,SIB/IGN/Decreto Nacional Nº 7.252/1954,IGN,149918
-42.880414301,-71.5860474011829,343,falso,Área protegida,Área Natural Protegida Los Alerces,Area Natural Protegida,Los Alerces Reserva Nacional,2,3,17,MAyDS,IGN,714007
-34.4926029,-58.480008060195,89,falso,Área protegida,Reserva Ecológica de Vicente López,Reserva Ecológica,Vicente López,2,4,17,IGN/Portal Oficial de la Municipalidad,IGN,27
-38.9747243589999,-61.6690715104654,4,falso,Área protegida,Reserva Natural de la Defensa Baterías - Charles Darwin,Reserva Natural de la Defensa,Baterías - Charles Darwin,2,2,17,SIB/IGN/Protocolo adicional Nº 08/2013,IGN,10113
-39.3331640345,-61.9441313203317,5,falso,Área protegida,"Reserva Natural Provincial de Uso Múltiple Bahía Blanca, Bahía Falsa y Bahía Verde",Reserva Natural Provincial de Uso Múltiple,"Bahía Blanca, Bahía Falsa y Bahía Verde",2,3,17,SIB/IGN/Ley Provincial Nº 12.101/OPDS,IGN,2563758
-35.795707021,-69.8153437227291,265,falso,Área protegida,Reserva Natural Caverna de las Brujas,Reserva Natural,Caverna de las Brujas,2,3,17,SIAT Mendoza/IGN/Ley Provincial Nº 5.544/1990,IGN,1305
-33.8325567174999,-59.4064497641938,94,falso,Área protegida,Reserva Natural Provincial de Objetivo Definido Botánico Barranca Norte,Reserva Natural Provincial de Objetivo Definido,Barranca Norte,2,3,17,SIB/IGN/Decreto Provincial Nº 469/2011,IGN,1054
-38.616454478,-63.0802780368714,95,falso,Área protegida,Reserva Natural Provincial de Objetivos Definidos Mixtos Laguna Chasicó,Reserva Natural Provincial de Objetivos Definidos,Chasicó,2,3,17,SIB/IGN/Ley Provincial Nº 12.353/1999,IGN,78258
-27.4023237999999,-55.2031675342914,102,falso,Área protegida,Parque Natural Municipal Paraje los Indios,Parque Natural Municipal,Paraje los Indios,1,4,17,,MAyDS,206
-41.0200325835,-64.1605458721605,6,falso,Área protegida,Reserva de Uso Múltiple Caleta de los Loros,Reserva de Uso Múltiple,Caleta de los Loros,2,3,17,SIB/IGN/Ley Provincial Nº 3.222/1998,IGN,90786
-41.159285985,-63.129686335592,7,falso,Área protegida,Reserva Faunística Provincial Punta Bermeja,Reserva Faunística Provincial,Punta Bermeja,2,3,17,SIB/IGN/Decreto Provincial Nº 898/1971,IGN,18968
-49.2752990709999,-67.7150381654083,11,falso,Área protegida,Área de Uso Limitado Bajo Protección Especial Islas Cormorán y Justicia,Área de Uso Limitado Bajo Protección Especial,Islas Cormorán y Justicia,2,3,17,SIB/IGN/DFS 15/1990,IGN,5256
-38.1167976654999,-57.5326611869683,12,falso,Área protegida,Reserva Natural Provincial de Objetivos Definidos Mixtos Restinga del Faro,Reserva Natural Provincial de Objetivos Definidos,Restinga del Faro,2,3,17,SIB/IGN/Decreto Provincial Nº 469/2011,IGN,7062
-55.1663856934999,-59.8749999999999,14,falso,Área protegida,Área Marina Protegida Namuncurá - Banco Burdwood II,Área Marina Protegida,Namuncurá - Banco Burdwood II,2,2,17,,MAyDS,25855332
-54.2930702314999,-59.1874354675955,15,falso,Área protegida,Área Marina Protegida Namuncurá - Banco Burdwood,Área Marina Protegida,Namuncurá - Banco Burdwood,2,2,17,SAyDS/IGN/Ley Nacional Nº 27.490/18,IGN,30740644
-27.47445516,-55.1394865795263,103,falso,Área protegida,Reserva Ecológica Mbotabyq,Reserva Ecológica,Mbotaby,2,4,17,,MAyDS,132
-49.32781636,-67.6554829918567,8,falso,Área protegida,Reserva Provincial Península de San Julián,Reserva Provincial,Península de San Julián,2,3,17,SIB/IGN/Ley Provincial Nº 1.821/1986,IGN,74177
-54.8095328685,-64.4693651746973,9,falso,Área protegida,Reserva Natural Silvestre Isla de los Estados y Archipiélago de Año Nuevo,Reserva Natural Silvestre,Isla de los Estados y Archipiélago de Año Nuevo,2,2,17,SIB/IGN/Decreto Nacional Nº 929/2016,IGN,502056
-49.5053628405,-67.6119454336033,10,falso,Área protegida,Parque Interjurisdiccional Marino Makenke,Parque Interjurisdiccional Marino,Makenke,1,2,17,SIB/IGN/Ley Nacional Nº 26.817/20112,IGN,724509
-46.50063051,-67.4617595417038,13,falso,Área protegida,Reserva Provincial Caleta Olivia,Reserva Provincial,Caleta Olivia,2,4,17,,MAyDS,1027
-56.6900008745,-65.6333342510003,16,falso,Área protegida,Área Marina Protegida Yaganes,Área Marina Protegida,Yaganes,2,2,17,,MAyDS,58234860
-46.4122422155,-67.5323769873226,17,falso,Área protegida,Reserva Provincial Municipal Humedal Caleta Olivia,Reserva Provincial Municipal,Humedal Caleta Olivia,2,4,17,SIB/IGN/Disposición Provincial Nº 14/1989,IGN,2737
-46.749429894,-67.0756298937352,18,falso,Área protegida,Reserva Natural Provincial Barco Hundido,Reserva Natural Provincial,Barco Hundido,2,3,17,SIB/IGN/Decreto Provincial Nº 1.561/1977,IGN,111322
-40.8644466025,-71.338415202249,337,falso,Área protegida,Parque Nacional Nahuel Huapi,Parque Nacional,Nahuel Huapi,1,2,17,,IGN,4783064
-41.3560691519999,-71.3798516763387,338,falso,Área protegida,Reserva Nacional Nahuel Huapi,Reserva Nacional,Nahuel Huapi,2,2,0,,IGN,2376718
-47.1951519499999,-65.77037773006,19,falso,Área protegida,Reserva Natural Provincial Cabo Blanco,Reserva Natural Provincial,Cabo Blanco,2,3,17,SIB/IGN/Decreto Provincial Nº 1.561/1977,IGN,36568
-47.8024465325,-66.102315252898,20,falso,Área protegida,Reserva Natural Provincial Ría de Puerto Deseado,Reserva Natural Provincial,Ría de Puerto Deseado,2,3,17,SIB/IGN/Decreto Provincial Nº 1.561/1977,IGN,75554
-49.346191406,-67.768022497286,21,falso,Área protegida,Área de Uso Limitado Bajo Protección Especial Bahía San Julián,Área de Uso Limitado Bajo Protección Especial,Bahía San Julián,2,3,17,SIB/IGN/Decreto Provincial Nº 1.561/1977,IGN,28524
-47.082512241,-66.3266260357837,22,falso,Área protegida,Área de Uso Científico Monte Loayza,Área de Uso Científico,Monte Loayza,2,3,17,SIB/IGN/Disposición Provincial Nº 14/1989,IGN,124095
-41.871517185,-64.9134905133309,23,falso,Área protegida,Área Natural Protegida Puerto Lobos,Área Natural Protegida,Puerto Lobos,2,3,17,SIB/IGN/Ley Provincial Nº 3.211/1998,IGN,621284
-42.755007748,-64.269212057579,24,falso,Área protegida,Reserva de Biósfera Península Valdés,Reserva de Biósfera,Península Valdés,2,3,17,SIB/IGN/UNESCO,IGN,19355132
-42.4744527599999,-64.0499269829172,25,falso,Área protegida,Reserva Natural Turística de Objetivo Integral Península Valdés,Reserva Natural Turística de Objetivo Integral,Península Valdés,2,3,17,SIB/IGN/Ley XXIII -Nº 12,IGN,3913939
-42.3368312509999,-64.3121959617104,26,falso,Área protegida,Parque Marino Provincial Golfo San José,Parque Marino Provincial,Golfo San José,1,3,17,SIB/IGN/Ley XXIII - Nº 12,IGN,826575
-43.0571890175,-64.4466997677364,34,falso,Área protegida,Reserva Natural Turística Punta León,Reserva Natural Turística,Punta León,2,3,17,SIB/IGN/Ley Provincial Nº 2.580/1985,IGN,3412
-25.990406884,-54.0851772201382,69,falso,Área protegida,Reserva de Vida Silvestre Urugua-í,Reserva de Vida Silvestre,Urugua-í,2,5,3,SIB/IGN/Fundación Vida Silvestre,IGN,31493
-42.168173133,-71.6916043620026,339,falso,Área protegida,Parque Nacional Lago Puelo,Parque Nacional,Lago Puelo,0,2,17,SIB/IGN/Decreto Nacional Nº 19.292/1971,IGN,189193
-36.4081387839999,-68.0307997042336,80,falso,Área protegida,Reserva Natural La Humada,Reserva Natural,La Humada,2,3,17,SIB/IGN/Decreto Provincial Nº 417/1974,IGN,60500
-26.3359488299999,-54.3738473193673,104,falso,Área protegida,Refugio Privado de Vida Silvestre Lapacho Cué,Refugio Privado de Vida Silvestre,Lapacho Cué,2,5,3,,MAyDS,1617
-42.8260202875,-64.9048081733039,27,falso,Área protegida,Reserva Natural Turística Punta Loma,Reserva Natural Turística,Punta Loma,2,3,17,SIB/IGN/Ley Provincial Nº 697/1967,IGN,16507
-40.8281662094999,-64.992372050447,28,falso,Área protegida,Área Provincial Natural Protegida de Bahía San Antonio,Área Provincial Natural Protegida,de Bahía San Antonio,2,3,17,SIB/IGN/Ley Provincial Nº 2.670/1993,IGN,684954
-42.6467017065,-64.191524609028,29,falso,Área protegida,Sitio Ramsar Humedales Península de Valdés,Sitio Ramsar,Humedales Península de Valdés,2,2,17,SAyDS/IGN/Ramsar,IGN,438346
-42.217717841,-64.1848416927403,30,falso,Área protegida,Reserva Natural de la Defensa Punta Buenos Aires,Reserva Natural de la Defensa,Punta Buenos Aires,2,2,17,SIB/IGN/Protocolo adicional Nº 01/2008,IGN,80078
-44.62006151,-65.6099698159463,31,falso,Área protegida,Reserva de Biósfera Patagonia Azul,Reserva de Biósfera,Patagonia Azul,2,3,17,IGN/UNESCO,IGN,30553073
-45.0795260705,-66.2377199519975,32,falso,Área protegida,Parque Interjurisdiccional Marino Costero Patagonia Austral,Parque Interjurisdiccional Marino Costero,Patagonia Austral,1,2,17,SIB/IGN/Ley Nacional Nº 26.446/2009,IGN,1049129
-44.049357108,-65.2192255671682,33,falso,Área protegida,Reserva Natural Turística de Objetivo Específico Punta Tombo,Reserva Natural Turística de Objetivo Específico,Punta Tombo,2,2,17,SIB/IGN/Ley Provincial Nº XXIII - Nº 12,IGN,2370
-26.0530102895,-54.35610630755,48,falso,Área protegida,Parque Provincial Esperanza,Parque Provincial,Esperanza,1,3,17,SIB/IGN/Ley Provincial Misiones Nº 2.876,IGN,6709
-42.22299075,-71.7294059184412,340,falso,Área protegida,Reserva Nacional Lago Puelo,Reserva Nacional,Lago Puelo,2,2,17,SIB/IGN/Decreto Nacional Nº 19.292/1971,IGN,83516
-44.9146545515,-65.5514554822304,35,falso,Área protegida,Reserva Natural Turística de Objetivo Integral Cabo dos Bahías,Reserva Natural Turística de Objetivo Integral,Cabo dos Bahías,2,3,17,SIB/IGN/Ley Provincial Nº XXIII - Nº 12,IGN,2579
-47.0889029625,-66.3323602013945,36,falso,Área protegida,Reserva Provincial Monte Loayza,Reserva Provincial,Monte Loayza,2,3,17,SIB/IGN/Ley Provincial Nº 2.828,IGN,76062
-26.0711529485,-54.4112397720608,49,falso,Área protegida,Refugio Privado de Vida Silvestre Aguaray-mí,Refugio Privado de Vida Silvestre,Aguaray-mí,2,5,3,SIB/IGN/Decreto Provincial Nº 1.531/1988,IGN,32684
-26.683062079,-54.7711486826955,50,falso,Área protegida,Refugio de Vida Silvestre Timbó Gigante,Refugio de Vida Silvestre,Timbó Gigante,2,5,3,SIB/IGN/Ministerio de Ecología Misiones,IGN,1397
-38.7282900179999,-59.3102797687262,37,falso,Área protegida,Reserva Natural Provincial de Uso Múltiple Arroyo Zabala,Reserva Natural Provincial de Uso Múltiple,Arroyo Zabala,2,3,17,SIB/IGN/OPDS,IGN,23786
-48.3894976375,-66.4734023049656,38,falso,Área protegida,Reserva Natural Provincial Bahía Laura,Reserva Natural Provincial,Bahía Laura,2,3,17,SIB/IGN/Decreto Provincial Nº 1.561/1977,IGN,51895
-40.3080414255,-62.1695665254501,39,falso,Área protegida,Reserva Natural Provincial de Uso Múltiple y Refugio de Vida Silvestre Bahía San Blas,Reserva Natural Provincial y Refugio,Bahía San Blas,2,3,17,SIB/IGN/Ley Provincial Nº 12.788/2001,IGN,5193196
-48.0932001159999,-65.8173931831073,40,falso,Área protegida,Reserva Provincial y Parque Interjurisdiccional Marino Isla Pingüinos,Reserva Provincial y Parque Natural,Isla Pingüinos,2,3,17,SIB/IGN/Ley Nacional Nº 26.818/2012,IGN,1579355
-26.4391164984999,-54.4821581974229,51,falso,Área protegida,Refugio Privado Itacuarahy,Refugio Privado,Itacuarahy,2,5,3,SIB/IGN/Ministerio de Ecología Misiones,IGN,2436
-27.4580784405,-54.6899880332201,52,falso,Área protegida,Refugio Privado de Vida Silvestre Chancay,Refugio Privado de Vida Silvestre,Chancay,2,5,3,SIB/IGN/Convenio Privado,IGN,2657
-38.2327546174999,-67.2091007530135,81,falso,Área protegida,Reserva Provincial Natural Embalse Casa de Piedra,Reserva Provincial Natural,Embalse Casa de Piedra,2,3,17,SIB/IGN/Mapa Provincial IGN La Pampa,IGN,89439
-27.014471775,-54.9114180444164,41,falso,Área protegida,Parque Provincial Salto Encantado del Valle del Arroyo Cuñá Pirú,Parque Provincial,Salto Encantado del Valle del Arroyo Cuñá Pirú,1,3,17,SIB/IGN/Decreto Provincial Nº 1.193/1989/Ley Provincial Nº 4.239/2005,IGN,132855
-26.210383659,-54.6067193756951,42,falso,Área protegida,Reserva Privada Santa María del Aguaray Miní,Reserva Privada,Santa María del Aguaray Miní,2,5,3,SIB/IGN/Decreto Provincial Nº 734/1999,IGN,236
-25.861159856,-53.8929171001398,43,falso,Área protegida,Parque Provincial Guardaparque Horacio Foerster,Parque Provincial,Guardaparque Horacio Foerster,1,3,17,SIB/IGN/Decreto Provincial Nº 557/1992,IGN,41638
-26.5208879154999,-53.9941881090043,44,falso,Área protegida,Parque Provincial Cruce Caballero,Parque Provincial,Cruce Caballero,1,3,17,SIB/IGN/Ley Provincial Nº 2876,IGN,5368
-26.6309552024999,-54.1002943174416,45,falso,Área protegida,Parque Provincial de la Araucaria,Parque Provincial,de la Araucaria,1,3,17,SIB/IGN/Ley Provincial Nº 2.876,IGN,918
-25.6281843649999,-54.5532013462011,46,falso,Área protegida,Paisaje Protegido Andrés Giai (Refugio de Animales Silvestres Güirá Oga),Paisaje Protegido,Andrés Giai (Refugio de Animales Silvestres Güirá Oga),2,5,3,SIB/IGN/Ley Provincial Nº 3.468/1997,IGN,117
-26.9781503419999,-53.9272730960373,111,falso,Área protegida,Parque Provincial Esmeralda,Parque Provincial,Esmeralda,1,3,17,SIB/IGN/Ley Provincial Nº 2.939/1992,IGN,312752
-26.4615712374999,-54.3361588519855,53,falso,Área protegida,Reserva Privada Tomo,Reserva Privada,Tomo,2,5,3,SIB/IGN/Decreto Provincial Nº 219/1997,IGN,15097
-26.0217449934999,-54.6105887790241,54,falso,Área protegida,Parque Natural Municipal Yarará,Parque Natural Municipal,Yarará,1,4,17,SIB/IGN/Ordenaza Municipal Nº 24/1995,IGN,104
-26.9315437949999,-54.4227805589527,55,falso,Área protegida,Reserva de Uso Múltiple Cuartel Victoria,Reserva de Uso Múltiple,Cuartel Victoria,2,3,17,SIB/IGN/Resolución INTA Nº 07/92,IGN,4382
-25.72923834,-53.996076310432,56,falso,Área protegida,Monumento Natural Ingeniero Florencio de Basaldúa,Monumento Natural,Ingeniero Florencio de Basaldúa,3,3,17,SIB/IGN/Ley provincial Nº 3.376/1996,IGN,2495
-27.1913922735,-55.1561210008395,57,falso,Área protegida,Reserva Privada El Paraíso,Reserva Privada,El Paraíso,2,5,3,SIB/IGN/Resolución Nº 201/1998,IGN,4382
-26.6945346629999,-54.2753306432563,58,falso,Área protegida,Reserva de Vida Silvestre Yaguaroundí,Reserva de Vida Silvestre,Yaguaroundí,2,5,3,SIB/IGN/Decreto Provincial Nº 1.847/1999,IGN,4026
-25.7941075634999,-54.067225716646,66,falso,Área protegida,Refugio Privado de Vida Silvestre Caá Porá,Refugio Privado de Vida Silvestre,Caá Porá,2,5,3,SIB/IGN/Fundación Vida Silvestre,IGN,409
-25.9467525695,-54.0998861156291,67,falso,Área protegida,Parque Provincial Urugua-í,Parque Provincial,Urugua-í,1,3,17,SIB/IGN/Decreto Provincial Nº 399/1988,IGN,850736
-25.8290311645,-54.1911101986761,68,falso,Área protegida,Parque Provincial Uruzú,Parque Provincial,Uruzú,1,3,17,SIB/IGN/Ley Provincial Nº 4.107/2004,IGN,25616
-27.2829629075,-55.5921908437555,59,falso,Área protegida,Parque Provincial Teyú Cuaré,Parque Provincial,Teyú Cuaré,1,3,17,SIB/IGN/Ley Provincial Misiones Nº 2.876,IGN,794
-27.7431759525,-55.5563434967903,60,falso,Área protegida,Parque Provincial de la Sierra Ingeniero Raúl Martínez Crovetto,Parque Provincial,de la Sierra Ingeniero Raúl Martínez Crovetto,1,3,17,SIB/IGN/Ley Provincial Nº 3.221/96,IGN,10221
-27.659923078,-55.4407709541703,61,falso,Área protegida,Reserva de Uso Múltiple Cerro Azul,Reserva de Uso Múltiple,Cerro Azul,2,3,17,SIB/IGN/Resolución INTA 07/1992,IGN,3846
-27.408526498,-55.1638270122148,62,falso,Área protegida,Parque Municipal Amado Bonpland,Parque Municipal,Amado Bonpland,1,4,17,SIB/IGN/Ordenanza Municipal Nº 13/1989,IGN,48
-26.3725930474999,-53.9971088484466,63,falso,Área protegida,Reserva Privada Julián Freaza,Reserva Privada,Julián Freaza,2,5,3,SIB/IGN/Decreto Provincial Nº 1.584/2003,IGN,6016
-27.119553548,-54.9643192167133,64,falso,Área protegida,Reserva Privada Valle del Arroyo Cuñá Pirú,Reserva Privada,Valle del Arroyo Cuñá Pirú,2,5,3,SIB/IGN/Convenio M.E.R.N.R. y T.,IGN,54920
-27.1764232095,-54.0915062422638,71,falso,Área protegida,Refugio Privado de Vida Silvestre San Miguel de la Frontera Premidia S.A.,Refugio Privado de Vida Silvestre,San Miguel de la Frontera Premidia S.A.,2,5,3,SIB/IGN/Convenio Propietario/Provincia Nº 92/1993,IGN,52091
-38.044545131,-62.0220953366427,72,falso,Área protegida,Parque Provincial Ernesto Tornquist - Sierra de la Ventana,Parque Provincial,Ernesto Tornquist - Sierra de la Ventana,1,3,17,SIB/IGN/OPDS,IGN,70260
-35.2307671834999,-58.6489243212446,73,falso,Área protegida,Reserva Natural Municipal Guardia del Juncal,Reserva Natural Municipal,Guardia del Juncal,2,4,17,SIB/IGN/ Ley Provincial Nº 13.530,IGN,1304
-36.937886169,-66.4910282534108,74,falso,Área protegida,Reserva Provincial Natural Limay Mahuida,Reserva Provincial Natural,Limay Mahuida,2,3,17,SIB/IGN/Decreto Provincial Nº 417/1974,IGN,71735
-36.9059768864999,-64.2416191698527,75,falso,Área protegida,Reserva Provincial de Flora y Fauna Parque Luro,Reserva Provincial de Flora y Fauna,Parque Luro,2,3,17,SIB/IGN/Decreto Provincial Nº 1.128/1967,IGN,96772
-37.3137039115,-66.2195780024581,76,falso,Área protegida,Reserva Provincial Natural La Reforma,Reserva Provincial Natural,La Reforma,2,3,17,SIB/IGN/Decreto Provincial Nº 417/1974,IGN,82908
-27.5548263794999,-55.709419562866,77,falso,Área protegida,Parque Provincial Cañadón de Profundidad,Parque Provincial,Cañadón de Profundidad,1,3,17,SIB/IGN/Ley Provincial Misiones Nº 2.876,IGN,447
-27.6361981729999,-55.7294543492385,78,falso,Área protegida,Parque Provincial Fachinal,Parque Provincial,Fachinal,1,3,17,SIB/IGN/Ley Provincial Nº 3.358/1996,IGN,458
-27.6201721794999,-55.7174284458125,79,falso,Área protegida,Reserva Privada Tupá Pojá,Reserva Privada,Tupá Pojá,2,5,3,SIB/IGN/Decreto Provincial Nº 749/2006,IGN,446
-26.01416951,-53.7909397257891,83,falso,Área protegida,Reserva Natural Estricta San Antonio,Reserva Natural Estricta,Estricta San Antonio,2,2,17,SIB/IGN/Decreto Nacional Nº 2.149/1990,IGN,4786
-34.8208007825,-58.0961179642021,84,falso,Área protegida,Reserva de Biósfera Pereyra Iraola,Reserva de Biósfera,Pereyra Iraola,2,3,17,SIB/IGN/UNESCO,IGN,102958
-27.361071155,-55.910982369843,85,falso,Área protegida,Reserva Privada Rincón Nazarí,Reserva Privada,Rincón Nazarí,2,5,3,SIB/IGN/Decreto Provincial Nº 169/2003,IGN,49
-25.887119102,-54.4196878450968,86,falso,Área protegida,Paisaje Protegido Lago Urugua-í,Paisaje Protegido,Lago Urugua-í,2,3,17,SIB/IGN/Ley Provincial Nº 3.302/1996,IGN,120142
-27.0926590674999,-54.5872886884102,87,falso,Área protegida,Reserva de Uso Múltiple Alejandro Orloff - Saltitos,Reserva de Uso Múltiple,Alejandro Orloff - Saltitos,2,3,17,SIB/IGN/Ley Provincial Nº 3.447/1997,IGN,2278
